title,addr,areacode,sigungucode,contentid,mapx,mapy,is_outdoor,tag
한섬 오즈세컨 롯데동부산,부산 기장군 기장읍 기장해안로 147,6,3,2909740,129.212808,35.19225217,0,4
한섬 오즈세컨 신세계부산,부산 기장군 장안읍 정관로 1133,6,3,2915235,129.2349941,35.32385172,0,4
한섬 오즈세컨 신세계파주,경기 파주시 탄현면 필승로 200 파주프리미엄아울렛,31,27,2929315,126.6965244,37.76940615,0,4
한섬 오즈세컨 현대가든파이브,서울 송파구 충민로 66,1,18,2915117,127.1249769,37.4776672,0,4
한섬 오즈세컨 현대김포,경기 김포시 고촌읍 아라육로152번길 100,31,8,2924376,126.7852461,37.59728888,0,4
한섬 오즈세컨 현대송도,인천 연수구 송도국제대로 123,2,8,2925804,126.6579998,37.38280322,0,4
한섬 전주아울렛,전북 전주시 완산구 서원로 141,37,12,2924152,127.1100818,35.81400533,0,4
한섬 클럽모나코 가로수,서울 강남구 논현로175길 75,1,1,2917298,127.0230571,37.52371558,0,4
한섬 클럽모나코 롯데김해,경남 김해시 장유로 469,36,4,2931864,128.8296221,35.18510146,0,4
한섬 클럽모나코 롯데동부산,부산 기장군 기장읍 기장해안로 147,6,3,2922777,129.212808,35.19225217,0,4
한섬 클럽모나코 롯데파주,경기 파주시 회동길 390,31,27,2912755,126.6937761,37.71787321,0,4
한섬 클럽모나코 신세계부산,부산 기장군 장안읍 정관로 1133,6,3,2914847,129.2349941,35.32385172,0,4
한섬 클럽모나코 신세계여주,경기 여주시 명품로 360,31,20,2928878,127.6123672,37.24137841,0,4
한섬 클럽모나코 신세계파주,경기 파주시 탄현면 필승로 200 파주프리미엄아울렛,31,27,2930981,126.6965244,37.76940615,0,4
한섬 클럽모나코 현대가든파이브,서울 송파구 충민로 66,1,18,2911532,127.1249769,37.4776672,0,4
한섬 클럽모나코 현대김포,경기 김포시 고촌읍 아라육로152번길 100,31,8,2922940,126.7852461,37.59728888,0,4
한섬 클럽모나코 현대송도,인천 연수구 송도국제대로 123,2,8,2915553,126.6579998,37.38280322,0,4
한섬 타미힐피거 두타,서울 중구 장충단로 275,1,24,2904751,127.0088293,37.56891007,0,4
한섬 타미힐피거 롯데광명,경기 광명시 일직로 17(일직동),31,4,2915018,126.8839476,37.42324698,0,4
한섬 타미힐피거 롯데기흥,경기 용인시 기흥구 신고매로 124,31,23,2901899,127.1209288,37.22542136,0,4
한섬 타미힐피거 롯데김해,경남 김해시 장유로 469,36,4,2905801,128.8296221,35.18510146,0,4
한섬 타미힐피거 롯데동부산,부산 기장군 기장읍 기장해안로 147,6,3,2924861,129.212808,35.19225217,0,4
한섬 타미힐피거 롯데이천,경기 이천시 호법면 프리미엄아울렛로 177-74(롯데프리미엄아울렛),31,26,2927528,127.4000447,37.24227722,0,4
한섬 타미힐피거 명동,서울 중구 명동6길 11,1,24,2924165,126.9843706,37.56283811,0,4
한섬 타미힐피거 신세계부산,부산 기장군 장안읍 정관로 1133,6,3,2916623,129.2349941,35.32385172,0,4
한섬 타미힐피거 신세계여주,"경기 여주시 명품로 360(상거동, 여주프리미엄아울렛)",31,20,3306671,127.6123672,37.24137841,0,4
한섬 타미힐피거 신세계파주,경기 파주시 탄현면 필승로 200 파주프리미엄아울렛,31,27,2911616,126.6965244,37.76940615,0,4
한섬 타미힐피거 현대가든파이브,서울 송파구 충민로 66,1,18,2909987,127.1249769,37.4776672,0,4
한섬 타미힐피거 현대김포,경기 김포시 고촌읍 아라육로152번길 100,31,8,2912750,126.7852461,37.59728888,0,4
한섬 타미힐피거 현대송도,인천 연수구 송도국제대로 123(송도동) 현대프리미엄아울렛 송도,2,8,2913457,126.6579998,37.38280322,0,4
한섬 타임 신세계부산,부산 기장군 장안읍 정관로 1133,6,3,2915746,129.2349941,35.32385172,0,4
한섬 타임 신세계여주,경기 여주시 명품로 360,31,20,2924708,127.61232,37.2416506,0,4
한섬 타임 신세계파주,경기 파주시 탄현면 필승로 200 파주프리미엄아울렛,31,27,2911992,126.6965244,37.76940615,0,4
한섬 타임 현대가든파이브,"서울 송파구 충민로 66(문정동, 가든파이브)",1,18,2924506,127.1249769,37.4776672,0,4
한섬 타임 현대가산,서울 금천구 디지털로10길 9,1,8,2908336,126.8890706,37.4776713,0,4
한섬 타임 현대김포,경기 김포시 고촌읍 아라육로152번길 100,31,8,2910587,126.7852461,37.59728888,0,4
한섬 타임 현대동대문,서울 중구 장충단로13길 20,1,24,2930635,127.0076822,37.56878784,0,4
한섬 타임 현대송도,"인천 연수구 송도국제대로 123(송도동, 현대프리미엄아울렛 송도점)",2,8,2925796,126.6579998,37.38280322,0,4
한섬 타임옴므 신세계부산,부산 기장군 장안읍 정관로 1133,6,3,2914908,129.2349941,35.32385172,0,4
한섬 타임옴므 현대가든파이브,"서울 송파구 충민로 66(문정동, 가든파이브)",1,18,2910152,127.1249769,37.4776672,0,4
한섬 타임옴므 현대가산,서울 금천구 디지털로10길 9,1,8,2905541,126.8890706,37.4776713,0,4
한섬 타임옴므 현대김포,경기 김포시 고촌읍 아라육로152번길 100,31,8,2923059,126.7852461,37.59728888,0,4
한섬 타임옴므 현대동대문,서울 중구 장충단로13길 20,1,24,2930775,127.0076822,37.56878784,0,4
한섬 타임옴므 현대송도,"인천 연수구 송도국제대로 123(송도동, 현대프리미엄아울렛 송도점)",2,8,2913793,126.6579998,37.38280322,0,4
한섬 톰그레이하운드 현대김포,경기 김포시 고촌읍 아라육로152번길 100,31,8,2931215,126.7852461,37.59728888,0,4
한섬 패션웨어하우스,경기 용인시 기흥구 공세로 186,31,23,2926581,127.1041688,37.23871674,0,4
한섬 폼 현대김포,경기 김포시 고촌읍 아라육로152번길 100,31,8,2910423,126.7852461,37.59728888,0,4
한섬 폼 현대송도,인천 연수구 송도국제대로 123,2,8,2926883,126.6579998,37.38280322,0,4
한섬더캐시미어,경기 김포시 아라육로152번길100,31,8,2927109,126.7852461,37.59728888,0,4
한순례한복침구,서울 강남구 압구정로 164,1,1,987669,127.0276343,37.52652922,0,4
한신시장,경기 부천시 은성로76번길 10,31,11,2741607,126.7990483,37.47488114,1,4
한양장식 르네시떼,부산 사상구 광장로 7 르네시떼 2층 2730호,6,9,2913996,128.9775987,35.16355659,0,4
한주주방아울렛,서울 송파구 양재대로 932,1,18,2903412,127.1107693,37.4960787,0,4
한지추억,서울 종로구 인사동7길 6,1,23,1019223,126.9856757,37.57315638,0,4
함덕민속오일시장,제주 제주시 조천읍 함덕16길 15-13,39,4,2765345,126.6679763,33.54024207,1,4
"함양 토종약초시장 (5, 10일)",경남 함양군 안의면 약초시장길 27,36,20,1435235,127.8137216,35.62598346,1,4
"함양장 / 지리산함양시장 (2, 7일)",경남 함양군 함양읍 중앙시장길 8-9,36,20,132155,127.7289375,35.51802751,1,4
"함열장 (2, 7일)",전북 익산시 함열읍 와리2길 8,37,9,132293,126.9585134,36.08069175,1,4
"함창장 (1, 6일)",경북 상주시 함창읍 함창시장1길 45-14,35,9,132108,128.1794911,36.56755516,1,4
"함평장 (2, 7일)",전남 함평군 함평읍 시장길 49-1,38,22,132274,126.5234446,35.06371655,1,4
"합덕장 (1, 6일)",충남 당진시 합덕읍 버그내2길 128-25,34,4,132485,126.7726885,36.80629971,1,4
합덕재래시장,충남 당진시 합덕읍 운산리,34,4,3035199,126.7725968,36.80639136,1,4
합천왕후시장,경남 합천군 합천읍 옥산로 44,36,21,2743311,128.1604342,35.56834895,1,4
핫트랙스 (광화문점),서울 종로구 종로 1 (종로1가),1,23,1916000,126.9779959,37.57099816,0,4
핫트랙스 (대구점),대구 중구 국채보상로 586,4,8,1916021,128.5948294,35.87057269,0,4
